Time,Bus Voltage,Battery Voltage,Current,Power,Temperature,Humidity
0.03,1.06,1.06,0.4,0.0,22.3,29.4
2.07,1.06,1.06,0.1,0.0,22.2,29.5
4.08,1.06,1.06,0.4,0.0,22.3,29.6
6.09,1.07,1.07,0.5,0.0,22.3,29.0
8.1,1.06,1.06,0.4,0.0,22.3,29.2
10.11,1.06,1.06,0.4,0.0,22.3,29.4
12.12,1.06,1.06,0.1,0.0,22.2,29.4
14.13,1.06,1.06,0.5,0.0,22.3,29.5
16.14,3.06,3.06,0.4,0.0,22.2,29.2
18.15,3.06,3.06,0.4,0.0,22.3,29.3
20.16,3.29,3.24,537.7,1770.0,22.3,29.3
22.17,3.3,3.25,535.5,1766.0,22.3,29.2
24.17,3.3,3.25,533.8,1762.0,22.3,29.1
26.18,3.31,3.25,533.2,1762.0,22.3,29.1
28.19,3.31,3.26,532.7,1766.0,22.3,28.9
30.2,3.32,3.26,532.5,1766.0,22.3,29.2
32.21,3.32,3.26,533.5,1766.0,22.3,29.2
34.22,3.32,3.27,531.4,1766.0,22.3,28.8
36.23,3.32,3.27,531.3,1770.0,22.3,29.0
38.24,3.33,3.27,530.9,1766.0,22.3,28.9
40.25,3.33,3.27,530.2,1762.0,22.3,29.1
42.26,3.33,3.28,530.4,1766.0,22.3,29.0
44.27,3.34,3.29,529.7,1766.0,22.3,29.0
46.28,3.34,3.28,529.7,1770.0,22.3,29.1
48.28,3.34,3.29,529.4,1770.0,22.3,28.8
50.29,3.35,3.3,529.4,1772.0,22.3,28.6
52.3,3.35,3.3,529.2,1772.0,22.3,28.9
54.31,3.35,3.3,528.8,1772.0,22.3,28.7
56.32,3.35,3.3,529.2,1772.0,22.3,28.8
58.33,3.36,3.3,528.5,1772.0,22.3,28.7
60.34,3.36,3.31,528.4,1772.0,22.3,28.7
62.35,3.36,3.31,528.0,1772.0,22.3,28.7
64.36,3.36,3.31,528.3,1776.0,22.3,28.8
66.37,3.36,3.31,528.5,1776.0,22.3,29.1
68.38,3.37,3.32,527.9,1776.0,22.3,28.9
70.39,3.37,3.32,527.4,1780.0,22.3,29.1
72.4,3.37,3.32,527.3,1780.0,22.3,28.7
74.41,3.37,3.32,527.0,1776.0,22.3,28.7
76.42,3.38,3.32,527.6,1782.0,22.3,29.0
78.43,3.38,3.32,526.9,1780.0,22.3,28.8
80.44,3.38,3.32,527.3,1780.0,22.3,29.0
82.45,3.38,3.33,526.8,1782.0,22.3,28.7
84.46,3.38,3.33,526.7,1782.0,22.3,28.9
86.47,3.38,3.33,526.6,1782.0,22.3,28.8
88.48,3.39,3.34,526.3,1782.0,22.3,29.0
90.48,3.39,3.34,526.5,1782.0,22.3,29.4
92.5,3.39,3.34,526.1,1786.0,22.3,29.0
94.5,3.39,3.34,525.4,1786.0,22.3,29.1
96.51,3.39,3.34,525.4,1782.0,22.3,29.1
98.52,3.4,3.34,526.0,1786.0,22.4,28.8
100.53,3.4,3.35,525.8,1786.0,22.3,29.0
102.54,3.4,3.35,526.2,1790.0,22.3,28.7
104.55,3.4,3.35,525.9,1790.0,22.3,28.9
106.56,3.4,3.35,525.9,1790.0,22.3,29.0
108.57,3.4,3.35,525.8,1790.0,22.4,28.8
110.58,3.41,3.36,525.1,1790.0,22.4,28.9
112.59,3.41,3.36,525.6,1792.0,22.4,28.9
114.6,3.41,3.36,525.2,1792.0,22.3,28.8
116.61,3.41,3.36,524.6,1790.0,22.4,29.2
118.62,3.41,3.36,524.4,1790.0,22.4,28.8
120.63,3.42,3.36,524.7,1792.0,22.4,28.5
122.64,3.42,3.36,524.9,1792.0,22.4,28.9
124.65,3.42,3.36,524.3,1792.0,22.4,28.7
126.66,3.42,3.37,524.6,1792.0,22.3,28.8
128.67,3.42,3.37,524.2,1796.0,22.4,28.7
130.68,3.42,3.37,524.3,1796.0,22.4,28.6
132.69,3.42,3.37,525.0,1798.0,22.3,29.1
134.7,3.43,3.38,524.5,1796.0,22.4,28.7
136.71,3.43,3.38,524.5,1798.0,22.4,28.7
138.72,3.43,3.38,524.6,1798.0,22.4,28.6
140.73,3.43,3.38,524.7,1798.0,22.4,29.0
142.74,3.43,3.38,524.7,1802.0,22.4,28.7
144.75,3.43,3.38,524.4,1802.0,22.3,28.4
146.76,3.43,3.38,524.8,1802.0,22.4,28.7
148.77,3.44,3.39,524.2,1802.0,22.4,28.5
150.78,3.44,3.39,524.0,1798.0,22.4,28.8
152.79,3.44,3.39,524.3,1802.0,22.4,28.7
154.8,3.44,3.39,524.4,1806.0,22.4,28.7
156.81,3.44,3.39,524.2,1806.0,22.4,28.7
158.82,3.44,3.39,524.6,1806.0,22.4,28.8
160.83,3.44,3.39,523.8,1806.0,22.4,28.7
162.84,3.45,3.4,523.7,1806.0,22.4,28.8
164.85,3.45,3.4,523.7,1806.0,22.4,28.6
166.86,3.45,3.4,524.1,1808.0,22.4,28.5
168.87,3.45,3.4,524.2,1808.0,22.4,28.6
170.88,3.45,3.4,523.8,1812.0,22.4,28.5
172.89,3.46,3.4,523.8,1808.0,22.4,28.7
174.9,3.46,3.4,523.4,1808.0,22.4,28.7
176.91,3.46,3.4,523.6,1808.0,22.4,28.5
178.92,3.46,3.41,523.4,1808.0,22.4,28.5
180.93,3.46,3.41,523.7,1812.0,22.4,28.6
182.94,3.46,3.41,523.6,1816.0,22.4,28.7
184.94,3.46,3.41,523.8,1816.0,22.4,28.6
186.95,3.46,3.41,523.5,1816.0,22.4,28.8
188.96,3.46,3.41,523.6,1816.0,22.4,28.6
190.97,3.47,3.42,523.8,1816.0,22.4,28.5
192.98,3.47,3.42,523.4,1816.0,22.4,28.5
194.99,3.47,3.42,523.0,1816.0,22.4,28.4
197.0,3.47,3.42,523.8,1816.0,22.4,28.2
199.01,3.47,3.42,523.4,1818.0,22.4,28.1
201.02,3.48,3.42,523.1,1818.0,22.4,28.4
203.03,3.48,3.42,523.4,1818.0,22.4,28.4
205.04,3.48,3.42,522.9,1818.0,22.4,28.2
207.05,3.48,3.42,522.9,1818.0,22.4,28.4
209.06,3.48,3.43,523.4,1822.0,22.4,28.4
211.07,3.48,3.43,523.0,1822.0,22.4,28.2
213.08,3.48,3.43,522.1,1818.0,22.4,28.5
215.09,3.48,3.43,523.0,1818.0,22.4,28.3
217.1,3.48,3.43,523.2,1826.0,22.4,28.3
219.11,3.49,3.44,522.7,1826.0,22.4,28.2
221.11,3.49,3.44,523.3,1826.0,22.4,28.1
223.12,3.49,3.44,522.8,1822.0,22.4,28.3
225.13,3.49,3.44,522.3,1822.0,22.4,28.0
227.15,3.49,3.44,522.8,1822.0,22.4,28.1
229.15,3.49,3.44,523.2,1828.0,22.3,28.3
231.16,3.49,3.44,522.7,1826.0,22.4,28.2
233.17,3.49,3.44,522.8,1826.0,22.4,28.1
235.18,3.5,3.44,522.7,1826.0,22.4,28.0
237.19,3.5,3.44,522.8,1828.0,22.4,28.0
239.2,3.5,3.44,522.8,1828.0,22.4,28.3
241.21,3.5,3.45,522.6,1828.0,22.4,28.1
243.22,3.5,3.45,522.8,1828.0,22.4,28.3
245.23,3.5,3.45,522.8,1828.0,22.4,28.4
247.24,3.5,3.45,522.8,1832.0,22.4,28.6
249.25,3.5,3.45,522.2,1828.0,22.4,28.2
251.26,3.5,3.45,522.4,1832.0,22.4,28.1
253.27,3.5,3.45,522.7,1832.0,22.4,28.1
255.28,3.5,3.45,522.3,1832.0,22.3,28.0
257.29,3.5,3.45,522.1,1832.0,22.4,28.4
259.3,3.51,3.46,522.4,1832.0,22.4,28.3
261.31,3.51,3.46,522.2,1832.0,22.4,28.2
263.32,3.51,3.46,522.1,1832.0,22.4,28.2
265.33,3.51,3.46,522.1,1832.0,22.4,28.3
267.33,3.51,3.46,522.3,1836.0,22.4,28.4
269.34,3.51,3.46,522.1,1832.0,22.4,28.2
271.35,3.52,3.46,522.2,1836.0,22.3,28.1
273.36,3.52,3.46,522.0,1836.0,22.4,28.5
275.37,3.52,3.46,522.1,1836.0,22.4,28.2
277.38,3.52,3.47,521.8,1836.0,22.4,28.3
279.39,3.52,3.46,521.9,1838.0,22.4,28.3
281.4,3.52,3.47,521.4,1836.0,22.4,28.1
283.41,3.52,3.47,522.1,1838.0,22.3,28.2
285.42,3.52,3.47,521.8,1838.0,22.4,28.2
287.43,3.52,3.47,521.5,1838.0,22.4,28.4
289.44,3.52,3.47,521.8,1838.0,22.4,28.3
291.45,3.52,3.47,521.6,1838.0,22.4,28.2
293.46,3.53,3.48,521.3,1838.0,22.4,28.3
295.47,3.53,3.48,521.5,1838.0,22.3,28.2
297.48,3.53,3.48,521.5,1838.0,22.4,28.4
299.49,3.53,3.48,522.0,1842.0,22.4,28.3
301.5,3.53,3.48,521.9,1842.0,22.4,28.1
303.51,3.53,3.48,521.3,1842.0,22.4,28.2
305.52,3.53,3.48,521.4,1842.0,22.4,28.7
307.52,3.54,3.48,521.7,1844.0,22.4,28.3
309.53,3.53,3.48,521.6,1842.0,22.3,28.3
311.54,3.54,3.48,521.7,1844.0,22.4,28.3
313.55,3.54,3.48,521.8,1844.0,22.3,28.3
315.56,3.54,3.48,521.3,1844.0,22.4,28.3
317.57,3.54,3.48,521.6,1844.0,22.4,28.4
319.58,3.54,3.49,521.6,1844.0,22.3,28.3
321.59,3.54,3.49,521.6,1844.0,22.3,28.2
323.6,3.54,3.49,521.4,1844.0,22.4,28.3
325.61,3.54,3.49,521.4,1844.0,22.4,28.4
327.62,3.54,3.49,521.6,1848.0,22.3,28.2
329.63,3.54,3.49,521.5,1848.0,22.3,28.2
331.64,3.55,3.5,521.0,1844.0,22.3,28.3
333.65,3.55,3.5,521.7,1852.0,22.4,28.4
335.66,3.55,3.5,521.7,1852.0,22.4,28.4
337.67,3.55,3.5,521.1,1848.0,22.3,28.2
339.68,3.55,3.5,521.3,1852.0,22.4,28.2
341.69,3.55,3.5,521.5,1852.0,22.3,28.0
343.7,3.55,3.5,521.5,1848.0,22.4,27.9
345.7,3.55,3.5,521.1,1852.0,22.3,28.2
347.71,3.56,3.5,521.7,1852.0,22.3,28.2
349.72,3.55,3.5,521.5,1854.0,22.3,28.1
351.73,3.55,3.5,520.9,1852.0,22.3,28.2
353.74,3.56,3.5,520.8,1852.0,22.3,28.3
355.75,3.56,3.5,521.0,1852.0,22.3,28.0
357.76,3.56,3.5,521.3,1854.0,22.3,28.3
359.77,3.56,3.5,520.5,1854.0,22.3,28.2
361.78,3.56,3.51,520.8,1852.0,22.3,28.2
363.79,3.56,3.51,520.7,1854.0,22.3,28.2
365.8,3.56,3.51,521.2,1854.0,22.3,28.2
367.81,3.56,3.51,521.2,1854.0,22.3,28.2
369.82,3.56,3.51,521.3,1858.0,22.4,28.2
371.83,3.56,3.51,521.0,1854.0,22.3,28.3
373.84,3.56,3.51,521.6,1854.0,22.3,28.3
375.85,3.56,3.51,521.0,1858.0,22.3,28.0
377.86,3.57,3.52,520.9,1854.0,22.3,28.1
379.87,3.56,3.51,520.9,1858.0,22.3,28.1
381.88,3.57,3.52,520.9,1854.0,22.3,28.3
383.89,3.57,3.52,520.7,1854.0,22.3,28.2
385.89,3.57,3.52,520.9,1858.0,22.3,28.0
387.91,3.57,3.52,520.9,1862.0,22.3,28.1
389.91,3.57,3.52,520.8,1858.0,22.3,28.1
391.92,3.57,3.52,521.0,1862.0,22.4,28.0
393.93,3.57,3.52,520.9,1862.0,22.3,28.0
395.94,3.57,3.52,520.5,1858.0,22.3,28.1
397.95,3.58,3.52,521.2,1862.0,22.3,28.2
399.96,3.58,3.52,520.2,1858.0,22.3,28.2
401.97,3.58,3.52,520.9,1862.0,22.3,28.1
403.98,3.58,3.52,520.9,1862.0,22.3,28.1
405.99,3.58,3.52,520.7,1864.0,22.3,28.2
408.0,3.58,3.53,520.2,1862.0,22.3,28.1
410.01,3.58,3.53,520.9,1864.0,22.3,27.9
412.02,3.58,3.53,520.8,1864.0,22.3,28.0
414.03,3.58,3.53,520.5,1864.0,22.3,28.2
416.04,3.58,3.53,520.7,1864.0,22.3,28.1
418.05,3.58,3.53,521.2,1864.0,22.3,28.2
420.06,3.58,3.53,520.7,1864.0,22.3,28.0
422.07,3.59,3.54,520.0,1864.0,22.3,28.2
424.08,3.58,3.53,520.6,1864.0,22.3,28.1
426.08,3.58,3.53,520.6,1864.0,22.3,28.2
428.1,3.58,3.53,520.5,1868.0,22.3,28.1
430.11,3.58,3.53,520.6,1864.0,22.3,28.2
432.11,3.59,3.54,520.1,1864.0,22.3,27.9
434.12,3.59,3.54,520.8,1868.0,22.3,27.7
436.13,3.59,3.54,520.3,1868.0,22.3,28.0
438.14,3.59,3.54,520.6,1872.0,22.3,28.0
440.15,3.59,3.54,520.7,1868.0,22.3,28.0
442.16,3.59,3.54,520.4,1868.0,22.3,28.1
444.17,3.59,3.54,521.0,1872.0,22.3,27.9
446.18,3.6,3.54,519.8,1868.0,22.3,28.1
448.19,3.6,3.54,520.1,1868.0,22.3,28.0
450.2,3.59,3.54,519.8,1868.0,22.4,28.0
452.21,3.59,3.54,519.6,1868.0,22.3,28.0
