Time,Bus Voltage,Battery Voltage,Current,Power,Temperature,Humidity
0.03,0.3,0.3,0.5,0,22.3,37.4
2.07,0.3,0.3,0.7,0,22.3,37.3
4.08,0.29,0.29,0.5,0,22.3,36.8
6.09,0.29,0.29,0.4,0,22.3,37
8.1,0.3,0.3,0.4,0,22.3,36.4
10.11,0.3,0.3,0.4,0,22.3,36.3
12.12,0.3,0.3,0.4,0,22.3,35.9
14.13,0.3,0.3,0.5,0,22.3,35.9
16.14,0.3,0.3,0.2,0,22.3,35.7
18.15,0.3,0.3,0.2,0,22.3,35.4
20.16,0.29,0.29,0.5,0,22.3,35.2
22.17,0.3,0.3,0.5,0,22.3,35
24.17,3.21,3.16,537.7,1726,22.3,35
26.18,3.22,3.17,536.4,1726,22.4,34.9
28.19,3.23,3.17,535.5,1726,22.4,34.5
30.2,3.23,3.18,535.2,1730,22.4,34.6
32.22,3.24,3.18,534.4,1730,22.4,34.1
34.23,3.24,3.19,534.1,1730,22.4,33.9
36.24,3.25,3.19,533.6,1730,22.4,33.9
38.25,3.25,3.19,533.2,1734,22.4,33.6
40.26,3.25,3.2,532.8,1734,22.4,33.4
42.27,3.26,3.2,532.5,1734,22.4,33.3
44.28,3.26,3.2,532.1,1736,22.4,33.5
46.29,3.26,3.21,531.7,1734,22.4,33.4
48.29,3.26,3.21,531.7,1736,22.4,33.5
50.31,3.27,3.21,531.1,1736,22.4,33.3
52.32,3.27,3.22,531.4,1740,22.4,33.4
54.33,3.28,3.22,530.7,1740,22.4,33
56.34,3.28,3.23,530.6,1740,22.4,33.1
58.35,3.28,3.23,530.7,1740,22.4,33.3
60.36,3.28,3.23,529.9,1740,22.4,32.8
62.37,3.29,3.23,529.7,1744,22.4,33
64.38,3.29,3.24,529.9,1744,22.4,32.8
66.38,3.29,3.24,529.8,1744,22.4,32.4
68.39,3.3,3.24,529.1,1744,22.4,32.5
70.4,3.3,3.25,529.3,1746,22.4,32.6
72.41,3.3,3.25,529.3,1746,22.4,32.3
74.42,3.3,3.25,529.3,1750,22.4,32
76.43,3.31,3.26,528.8,1750,22.4,32.1
78.44,3.31,3.26,528.9,1750,22.4,32
80.45,3.31,3.26,528.8,1750,22.4,32.3
82.46,3.31,3.26,528.6,1750,22.4,32.4
84.47,3.32,3.26,528.6,1754,22.4,32
86.48,3.32,3.26,527.9,1754,22.4,32
88.49,3.32,3.27,527.6,1754,22.4,32
90.5,3.33,3.28,528.1,1756,22.4,31.9
92.51,3.33,3.28,527.8,1754,22.4,31.8
94.52,3.33,3.28,527.8,1756,22.4,31.9
96.53,3.33,3.28,527.6,1760,22.4,32
98.54,3.33,3.28,527.5,1760,22.4,31.6
100.54,3.33,3.28,527.3,1760,22.4,31.8
102.55,3.34,3.28,527.1,1760,22.4,31.7
104.56,3.34,3.29,527.3,1760,22.4,31.4
106.57,3.34,3.29,526.2,1756,22.4,31.5
108.58,3.34,3.29,527,1762,22.4,31.4
110.59,3.34,3.29,526.9,1762,22.4,31.4
112.6,3.35,3.3,526.8,1762,22.4,31.7
114.61,3.35,3.3,526.5,1762,22.4,31.6
116.62,3.35,3.3,526.4,1762,22.4,30.9
118.63,3.35,3.3,526.7,1766,22.4,30.8
120.64,3.36,3.31,526.6,1766,22.4,30.9
122.65,3.36,3.31,526.4,1766,22.4,30.6
124.66,3.36,3.31,526,1766,22.4,30.8
126.67,3.36,3.31,525.8,1766,22.4,30.8
128.68,3.36,3.31,526.3,1770,22.4,30.8
130.69,3.36,3.31,526.1,1770,22.4,30.5
132.7,3.37,3.32,526.2,1766,22.4,30.5
134.71,3.37,3.32,526,1772,22.4,30.5
136.72,3.37,3.32,525.6,1772,22.4,30.6
138.73,3.38,3.32,525.8,1770,22.4,30.3
140.74,3.38,3.32,525.8,1776,22.4,30.3
142.75,3.38,3.32,525.8,1776,22.4,30.6
144.76,3.38,3.33,525.7,1776,22.4,30.3
146.77,3.38,3.33,525.7,1776,22.4,30
148.78,3.38,3.33,525.3,1780,22.4,30.1
150.79,3.38,3.33,525.3,1776,22.4,30
152.8,3.38,3.33,525.4,1780,22.4,30
154.8,3.38,3.33,525.2,1780,22.4,29.9
156.81,3.39,3.34,524.9,1780,22.4,29.9
158.82,3.39,3.34,525.1,1780,22.4,30
