Time,Bus Voltage,Battery Voltage,Current,Power,Temperature,Humidity
225.12,3.1,3.05,530.3,1644.0,22.7,34.3
227.13,3.11,3.05,530.3,1648.0,22.7,34.4
229.13,3.12,3.06,530.0,1648.0,22.7,34.5
231.14,3.12,3.07,529.6,1652.0,22.7,34.6
233.15,3.12,3.07,529.8,1652.0,22.7,34.5
235.16,3.13,3.08,529.6,1658.0,22.7,34.5
237.17,3.14,3.08,529.4,1662.0,22.7,34.4
239.18,3.14,3.08,529.2,1658.0,22.7,34.6
241.19,3.14,3.09,529.2,1664.0,22.7,34.2
243.2,3.14,3.09,529.2,1664.0,22.7,34.5
245.21,3.14,3.09,528.9,1662.0,22.7,34.6
247.22,3.15,3.1,528.9,1668.0,22.7,34.7
249.23,3.16,3.1,528.7,1668.0,22.7,34.7
251.24,3.16,3.11,528.7,1672.0,22.7,34.7
253.25,3.16,3.11,528.4,1672.0,22.7,34.6
255.26,3.17,3.12,528.7,1674.0,22.7,34.5
257.27,3.17,3.12,528.1,1674.0,22.7,34.3
259.28,3.17,3.12,528.4,1674.0,22.7,34.7
261.29,3.18,3.12,528.3,1678.0,22.7,34.3
263.3,3.18,3.13,528.4,1682.0,22.7,34.2
265.31,3.18,3.13,528.3,1682.0,22.7,34.2
267.32,3.19,3.14,528.1,1684.0,22.7,34.2
269.33,3.19,3.14,528.0,1684.0,22.7,34.3
271.33,3.19,3.14,528.0,1684.0,22.7,34.2
273.34,3.2,3.14,527.8,1684.0,22.7,34.1
275.35,3.2,3.15,527.6,1688.0,22.7,33.9
277.36,3.2,3.15,527.6,1690.0,22.7,33.8
279.37,3.2,3.15,527.7,1690.0,22.7,34.0
281.38,3.21,3.16,527.6,1694.0,22.7,33.7
283.39,3.21,3.16,527.4,1694.0,22.7,33.8
285.4,3.21,3.16,527.3,1694.0,22.7,33.7
287.41,3.22,3.16,527.3,1694.0,22.7,33.8
289.42,3.22,3.17,527.1,1700.0,22.7,33.7
291.43,3.22,3.17,527.3,1698.0,22.7,33.5
293.44,3.23,3.18,526.9,1700.0,22.7,33.3
295.45,3.23,3.18,527.1,1700.0,22.7,33.4
297.46,3.23,3.18,527.1,1700.0,22.7,33.6
299.47,3.23,3.18,526.9,1704.0,22.7,33.4
301.48,3.23,3.18,526.9,1704.0,22.7,33.5
303.49,3.24,3.18,526.9,1708.0,22.7,33.6
305.5,3.24,3.18,526.6,1704.0,22.7,33.5
307.51,3.24,3.19,526.5,1708.0,22.7,33.4
309.52,3.25,3.2,526.6,1710.0,22.7,33.5
311.52,3.25,3.2,526.6,1710.0,22.7,33.5
313.54,3.25,3.2,526.3,1710.0,22.7,33.5
315.55,3.25,3.2,526.4,1710.0,22.7,33.3
317.55,3.26,3.2,526.7,1714.0,22.7,33.5
319.56,3.26,3.21,526.2,1714.0,22.7,33.5
321.57,3.26,3.21,526.3,1718.0,22.7,33.2
323.58,3.26,3.21,526.4,1718.0,22.7,33.5
325.59,3.26,3.21,526.2,1718.0,22.7,33.4
327.6,3.26,3.21,526.0,1720.0,22.7,33.5
329.61,3.27,3.22,526.0,1720.0,22.7,33.6
331.62,3.27,3.22,526.0,1720.0,22.7,33.5
333.63,3.27,3.22,526.1,1720.0,22.7,33.6
335.64,3.27,3.22,525.9,1724.0,22.7,33.6
337.65,3.28,3.22,526.2,1724.0,22.7,33.6
339.66,3.28,3.23,526.2,1726.0,22.7,33.4
341.67,3.28,3.23,526.0,1724.0,22.7,33.5
343.68,3.28,3.23,525.5,1726.0,22.7,33.6
345.69,3.28,3.23,525.6,1726.0,22.7,33.5
347.7,3.29,3.24,525.9,1730.0,22.7,33.5
349.71,3.29,3.24,525.4,1730.0,22.7,33.4
351.72,3.29,3.24,525.6,1730.0,22.7,33.4
353.73,3.3,3.24,525.6,1734.0,22.7,33.5
355.74,3.3,3.24,525.8,1734.0,22.7,33.8
357.75,3.3,3.25,525.5,1734.0,22.7,33.4
359.76,3.3,3.25,525.6,1734.0,22.7,33.7
361.77,3.3,3.25,525.5,1736.0,22.7,33.9
363.78,3.3,3.25,525.6,1736.0,22.7,33.5
365.79,3.31,3.26,525.5,1736.0,22.7,33.8
367.8,3.31,3.26,525.4,1736.0,22.7,33.8
369.81,3.31,3.26,525.1,1740.0,22.6,33.5
371.82,3.31,3.26,525.4,1740.0,22.7,33.5
373.83,3.32,3.26,525.5,1744.0,22.7,33.7
375.83,3.32,3.26,525.2,1740.0,22.7,33.5
377.84,3.32,3.26,525.5,1744.0,22.7,33.5
379.85,3.32,3.27,525.2,1744.0,22.7,33.6
381.86,3.32,3.27,525.4,1746.0,22.7,33.8
383.87,3.32,3.27,525.0,1744.0,22.6,33.5
385.88,3.33,3.28,524.9,1746.0,22.7,33.5
387.89,3.33,3.28,525.2,1746.0,22.7,33.4
389.9,3.33,3.28,525.1,1746.0,22.7,33.4
391.91,3.33,3.28,525.1,1746.0,22.7,33.5
393.92,3.33,3.28,524.9,1750.0,22.7,33.8
395.93,3.34,3.28,525.0,1754.0,22.7,33.5
397.94,3.34,3.28,525.1,1754.0,22.7,33.6
399.95,3.34,3.28,524.7,1754.0,22.7,33.3
401.96,3.34,3.29,524.9,1750.0,22.7,33.6
403.97,3.34,3.29,525.0,1754.0,22.7,33.5
405.98,3.34,3.29,524.7,1754.0,22.7,33.4
407.99,3.34,3.29,524.6,1756.0,22.7,33.4
410.0,3.35,3.3,525.0,1756.0,22.7,33.7
412.01,3.35,3.3,524.7,1756.0,22.7,33.4
414.02,3.35,3.3,524.6,1760.0,22.7,33.4
416.03,3.35,3.3,524.8,1760.0,22.7,33.4
418.04,3.35,3.3,524.8,1760.0,22.7,33.4
420.04,3.35,3.3,524.6,1760.0,22.7,33.4
422.05,3.36,3.3,524.6,1760.0,22.7,33.3
424.06,3.36,3.3,524.5,1760.0,22.7,33.6
426.07,3.36,3.31,524.7,1762.0,22.6,33.5
428.08,3.36,3.31,524.6,1762.0,22.7,33.7
430.09,3.36,3.31,524.8,1762.0,22.7,33.5
432.1,3.36,3.31,524.3,1762.0,22.7,33.5
434.11,3.36,3.31,524.1,1766.0,22.6,33.6
436.12,3.37,3.32,524.5,1766.0,22.7,33.5
438.13,3.37,3.32,524.7,1766.0,22.7,33.5
440.14,3.37,3.32,524.5,1770.0,22.7,33.3
442.15,3.37,3.32,524.4,1766.0,22.7,33.4
444.16,3.38,3.32,524.5,1770.0,22.7,33.8
446.17,3.37,3.32,524.3,1770.0,22.7,33.3
448.18,3.38,3.32,524.4,1770.0,22.7,33.2
450.19,3.38,3.32,524.7,1772.0,22.6,33.4
452.2,3.38,3.32,524.1,1772.0,22.6,33.4
454.21,3.38,3.33,524.5,1772.0,22.7,33.5
456.22,3.38,3.33,524.4,1776.0,22.7,33.5
458.23,3.38,3.33,524.2,1772.0,22.6,33.5
460.23,3.38,3.33,524.4,1776.0,22.7,33.4
462.24,3.39,3.34,524.3,1776.0,22.6,33.5
464.25,3.39,3.34,524.3,1776.0,22.6,33.4
466.27,3.39,3.34,524.3,1780.0,22.7,33.5
468.28,3.39,3.34,524.1,1780.0,22.7,33.4
470.29,3.39,3.34,524.2,1780.0,22.7,33.2
472.3,3.4,3.34,523.7,1776.0,22.7,33.5
474.3,3.4,3.34,523.5,1780.0,22.6,33.7
476.31,3.4,3.34,523.4,1776.0,22.7,33.5
478.32,3.4,3.34,523.4,1776.0,22.7,33.5
480.33,3.4,3.35,523.4,1780.0,22.7,33.4
482.34,3.4,3.35,523.6,1780.0,22.7,33.5
484.35,3.4,3.34,524.3,1782.0,22.6,33.3
486.36,3.4,3.35,524.5,1782.0,22.6,33.1
488.37,3.4,3.35,524.1,1782.0,22.6,33.5
490.38,3.4,3.35,523.6,1782.0,22.6,33.3
492.39,3.4,3.35,523.5,1782.0,22.6,33.5
494.4,3.41,3.36,524.1,1782.0,22.6,33.7
496.41,3.41,3.36,524.0,1786.0,22.7,33.5
498.42,3.41,3.36,523.8,1786.0,22.6,33.4
500.43,3.41,3.36,523.6,1786.0,22.6,33.6
502.44,3.41,3.36,524.1,1790.0,22.7,33.6
504.45,3.42,3.36,524.1,1790.0,22.7,33.3
506.46,3.42,3.36,524.3,1790.0,22.6,33.4
508.47,3.42,3.36,523.7,1792.0,22.6,33.1
510.48,3.42,3.36,524.1,1790.0,22.6,33.5
512.48,3.42,3.37,523.9,1792.0,22.7,33.5
514.5,3.42,3.37,523.7,1792.0,22.7,33.3
516.51,3.42,3.37,523.8,1792.0,22.7,33.5
518.51,3.42,3.37,523.9,1792.0,22.6,33.5
520.52,3.42,3.37,523.8,1792.0,22.7,33.3
522.53,3.42,3.37,523.8,1796.0,22.6,33.6
524.54,3.43,3.38,523.8,1796.0,22.7,33.3
526.55,3.43,3.38,523.7,1796.0,22.6,33.5
528.56,3.43,3.38,523.5,1796.0,22.7,33.4
530.57,3.43,3.38,523.8,1796.0,22.7,33.6
532.58,3.43,3.38,523.8,1796.0,22.6,33.4
534.59,3.43,3.38,524.1,1798.0,22.6,33.5
536.6,3.44,3.38,523.7,1798.0,22.6,33.4
538.61,3.43,3.38,523.9,1802.0,22.6,33.3
540.62,3.44,3.38,523.7,1798.0,22.6,33.5
542.63,3.44,3.39,523.7,1798.0,22.6,33.2
544.64,3.44,3.38,524.1,1802.0,22.7,33.5
546.65,3.44,3.39,524.1,1802.0,22.7,33.3
548.66,3.44,3.39,523.7,1802.0,22.6,33.4
550.67,3.44,3.39,523.8,1802.0,22.6,33.6
552.68,3.44,3.39,523.7,1802.0,22.7,33.4
554.69,3.44,3.39,523.7,1806.0,22.6,33.8
556.7,3.45,3.4,523.7,1802.0,22.6,33.5
558.7,3.44,3.39,523.8,1806.0,22.7,33.6
560.71,3.45,3.4,523.8,1806.0,22.6,33.6
562.72,3.45,3.4,524.0,1806.0,22.6,33.5
564.73,3.45,3.4,524.1,1808.0,22.6,33.7
566.74,3.45,3.4,524.0,1808.0,22.6,33.4
568.75,3.45,3.4,524.1,1808.0,22.6,33.5
